ball_cx, ball_cy, ball_vx, ball_vy, paddle_y, paddle_vy
63, 103, 3, 3, 10, 0
66, 106, 3, 3, 10, 0
69, 109, 3, 3, 10, 0
72, 112, 3, 3, 10, 0
75, 115, 3, 3, 10, 0
78, 118, 3, 3, 10, 0
81, 121, 3, 3, 10, 0
84, 124, 3, 3, 10, 0
87, 127, 3, 3, 10, 0
90, 130, 3, 3, 10, 0
93, 133, 3, 3, 10, 0
96, 136, 3, 3, 10, 0
99, 139, 3, 3, 10, 0
102, 142, 3, 3, 10, 0
105, 145, 3, 3, 10, 0
108, 148, 3, 3, 10, 0
111, 151, 3, 3, 10, 0
114, 154, 3, 3, 10, 0
117, 157, 3, 3, 10, 0
120, 160, 3, 3, 10, 0
123, 163, 3, 3, 10, 0
126, 166, 3, 3, 10, 0
129, 169, 3, 3, 10, 0
132, 172, 3, 3, 10, 0
135, 175, 3, 3, 13, 3
138, 178, 3, 3, 16, 3
141, 181, 3, 3, 19, 3
144, 184, 3, 3, 22, 3
147, 187, 3, 3, 25, 3
150, 190, 3, 3, 28, 3
153, 193, 3, 3, 31, 3
156, 196, 3, 3, 34, 3
159, 199, 3, 3, 37, 3
162, 202, 3, 3, 40, 3
165, 205, 3, 3, 43, 3
168, 208, 3, 3, 46, 3
171, 211, 3, 3, 49, 3
174, 214, 3, 3, 52, 3
177, 217, 3, 3, 55, 3
180, 220, 3, 3, 58, 3
183, 223, 3, 3, 61, 3
186, 226, 3, 3, 64, 3
189, 229, 3, 3, 67, 3
192, 232, 3, 3, 70, 3
195, 235, 3, 3, 73, 3
198, 238, 3, 3, 76, 3
201, 241, 3, 3, 79, 3
204, 244, 3, 3, 82, 3
207, 247, 3, 3, 85, 3
210, 250, 3, 3, 88, 3
213, 253, 3, 3, 91, 3
216, 256, 3, 3, 94, 3
219, 259, 3, 3, 97, 3
222, 262, 3, 3, 100, 3
225, 265, 3, 3, 103, 3
228, 268, 3, 3, 106, 3
231, 271, 3, 3, 109, 3
234, 274, 3, 3, 112, 3
237, 277, 3, 3, 115, 3
240, 280, 3, 3, 118, 3
243, 283, 3, 3, 121, 3
246, 286, 3, 3, 124, 3
249, 289, 3, 3, 127, 3
252, 292, 3, 3, 130, 3
255, 295, 3, 3, 133, 3
258, 298, 3, 3, 136, 3
261, 301, 3, 3, 139, 3
264, 304, 3, 3, 142, 3
267, 307, 3, 3, 145, 3
270, 310, 3, 3, 148, 3
273, 313, 3, 3, 151, 3
276, 316, 3, 3, 154, 3
279, 319, 3, 3, 157, 3
282, 322, 3, 3, 160, 3
285, 325, 3, 3, 163, 3
288, 328, 3, 3, 163, 0
291, 331, 3, 3, 163, 0
294, 334, 3, 3, 163, 0
297, 337, 3, 3, 163, 0
300, 340, 3, 3, 163, 0
303, 343, 3, 3, 163, 0
306, 346, 3, 3, 163, 0
309, 349, 3, 3, 163, 0
312, 352, 3, 3, 163, 0
315, 355, 3, 3, 163, 0
318, 358, 3, 3, 163, 0
321, 361, 3, 3, 163, 0
324, 364, 3, 3, 163, 0
327, 367, 3, 3, 163, 0
330, 370, 3, 3, 163, 0
333, 373, 3, 3, 163, 0
336, 376, 3, 3, 163, 0
339, 379, 3, 3, 163, 0
342, 382, 3, 3, 163, 0
345, 385, 3, 3, 163, 0
348, 388, 3, 3, 163, 0
351, 391, 3, 3, 163, 0
354, 394, 3, 3, 163, 0
357, 397, 3, 3, 166, 3
360, 400, 3, 3, 169, 3
363, 403, 3, 3, 172, 3
366, 406, 3, 3, 175, 3
369, 409, 3, 3, 178, 3
372, 412, 3, 3, 181, 3
375, 415, 3, 3, 184, 3
378, 418, 3, 3, 187, 3
381, 421, 3, 3, 190, 3
384, 424, 3, 3, 193, 3
387, 427, 3, 3, 196, 3
390, 430, 3, 3, 199, 3
393, 433, 3, 3, 202, 3
396, 436, 3, 3, 205, 3
399, 439, 3, 3, 208, 3
402, 442, 3, 3, 211, 3
405, 445, 3, 3, 214, 3
408, 448, 3, 3, 217, 3
411, 451, 3, 3, 220, 3
414, 454, 3, 3, 223, 3
417, 457, 3, 3, 226, 3
420, 460, 3, 3, 229, 3
423, 463, 3, 3, 232, 3
426, 466, 3, 3, 235, 3
429, 469, 3, 3, 238, 3
432, 472, 3, 3, 241, 3
435, 475, 3, 3, 244, 3
438, 478, 3, 3, 247, 3
441, 481, 3, 3, 250, 3
444, 484, 3, 3, 253, 3
447, 487, 3, 3, 256, 3
450, 490, 3, 3, 259, 3
453, 493, 3, 3, 262, 3
456, 496, 3, 3, 265, 3
459, 499, 3, 3, 268, 3
462, 502, 3, 3, 271, 3
465, 505, 3, 3, 274, 3
468, 508, 3, 3, 277, 3
471, 511, 3, 3, 280, 3
474, 514, 3, 3, 283, 3
477, 517, 3, 3, 286, 3
480, 520, 3, 3, 289, 3
483, 523, 3, 3, 292, 3
486, 526, 3, 3, 295, 3
489, 529, 3, 3, 298, 3
492, 532, 3, 3, 301, 3
495, 535, 3, 3, 304, 3
498, 538, 3, 3, 307, 3
501, 541, 3, 3, 310, 3
504, 544, 3, 3, 313, 3
507, 547, 3, 3, 316, 3
510, 550, 3, 3, 319, 3
513, 553, 3, 3, 322, 3
516, 556, 3, 3, 325, 3
519, 559, 3, 3, 328, 3
522, 562, 3, 3, 331, 3
525, 565, 3, 3, 334, 3
528, 568, 3, 3, 337, 3
531, 571, 3, 3, 340, 3
534, 574, 3, 3, 343, 3
537, 577, 3, 3, 346, 3
540, 580, 3, 3, 349, 3
543, 583, 3, 3, 352, 3
546, 586, 3, 3, 355, 3
549, 589, 3, 3, 358, 3
552, 592, 3, 3, 361, 3
555, 589, 3, -3, 364, 3
558, 586, 3, -3, 364, 0
561, 583, 3, -3, 364, 0
564, 580, 3, -3, 364, 0
567, 577, 3, -3, 364, 0
570, 574, 3, -3, 364, 0
573, 571, 3, -3, 364, 0
576, 568, 3, -3, 364, 0
579, 565, 3, -3, 364, 0
582, 562, 3, -3, 364, 0
585, 559, 3, -3, 364, 0
588, 556, 3, -3, 364, 0
591, 553, 3, -3, 364, 0
594, 550, 3, -3, 364, 0
597, 547, 3, -3, 364, 0
600, 544, 3, -3, 364, 0
603, 541, 3, -3, 364, 0
606, 538, 3, -3, 364, 0
609, 535, 3, -3, 367, 3
612, 532, 3, -3, 370, 3
615, 529, 3, -3, 373, 3
618, 526, 3, -3, 376, 3
621, 523, 3, -3, 379, 3
624, 520, 3, -3, 382, 3
627, 517, 3, -3, 385, 3
630, 514, 3, -3, 385, 0
633, 511, 3, -3, 385, 0
636, 508, 3, -3, 385, 0
639, 505, 3, -3, 385, 0
642, 502, 3, -3, 385, 0
645, 499, 3, -3, 385, 0
648, 496, 3, -3, 385, 0
651, 493, 3, -3, 385, 0
654, 490, 3, -3, 385, 0
657, 487, 3, -3, 385, 0
660, 484, 3, -3, 385, 0
663, 481, 3, -3, 385, 0
666, 478, 3, -3, 385, 0
669, 475, 3, -3, 385, 0
672, 472, 3, -3, 385, 0
675, 469, 3, -3, 385, 0
678, 466, 3, -3, 385, 0
681, 463, 3, -3, 385, 0
684, 460, 3, -3, 385, 0
